Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Titre FR,Titre EN,Console,Année,ESRB,IDBNF,description
Action,Konami Digital Entertainment,0.09,0.03,0.0,0.0,0.12,Konami,Castlevania: Curse of Darkness,Castlevania: Curse of Darkness,XBox,2005,Mature 17+,16974890,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13,Konami,Teenage Mutant Ninja Turtles 2: Battle Nexus,Teenage Mutant Ninja Turtles 2: Battle Nexus,XBox,2004,Teen,16908446,Jeu d'action. - La version pour Game Boy Advance connait quelques variantes de gameplay
Action,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.2,KCE Studios,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,2005,Everyone 10+,16908451,Jeu d'action
Action,Konami Digital Entertainment,0.1,0.34,0.0,0.07,0.5,Konami,Pro Evolution Soccer 2012,Pro Evolution Soccer 2012,XBox360,2011,Everyone,16566663,"Jeu de simulation sportive. - Intitulé ""World soccer winning eleven 2012"" au Japon. - Intitulé ""Pro evolution soccer 2012 3D"" sur Nintendo 3DS"
Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,Climax Group,Silent Hill: Shattered Memories,Silent Hill: Shattered Memories,PS2,2009,Mature 17+,16580822,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,KCET,Silent Hill 4: The Room,Silent Hill 4: The Room,XBox,2004,Mature 17+,16580337,Jeu d'action ; jeux d'aventure
Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,Konami,Castlevania: Curse of Darkness,Castlevania: Curse of Darkness,PS2,2005,Mature 17+,16974890,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.21,0.15,0.04,0.06,0.46,Vatra,Silent Hill: Downpour,Silent Hill: Downpour,PS3,2012,Mature 17+,16652823,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.3,Konami,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,XBox,2003,Everyone,16908396,Jeu d'action. - La version pour Game Boy Advance présente quelques variantes de gameplay
Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,KCE Studios,Teenage Mutant Ninja Turtles 2: Battle Nexus,Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004,Teen,16908446,Jeu d'action. - La version pour Game Boy Advance connait quelques variantes de gameplay
Action,Konami Digital Entertainment,0.22,0.19,0.01,0.05,0.47,"Climax Group, Climax Studios",Silent Hill: Shattered Memories,Silent Hill: Shattered Memories,Wii,2009,Mature 17+,16580822,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.25,0.19,0.0,0.06,0.51,KCET,Silent Hill 4: The Room,Silent Hill 4: The Room,PS2,2004,Mature 17+,16580337,Jeu d'action ; jeux d'aventure
Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,Konami,Pro Evolution Soccer 2012,Pro Evolution Soccer 2012,PS3,2011,Everyone,16566663,"Jeu de simulation sportive. - Intitulé ""World soccer winning eleven 2012"" au Japon. - Intitulé ""Pro evolution soccer 2012 3D"" sur Nintendo 3DS"
Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,KCET,Silent Hill 3,Silent Hill 3,PS2,2003,Mature 17+,16580330,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,Mercury Steam,Castlevania: Lords of Shadow,Castlevania: Lords of Shadow,XBox360,2010,Mature 17+,17160976,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,KCE Studios,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,PS2,2003,Everyone,16908396,Jeu d'action. - La version pour Game Boy Advance présente quelques variantes de gameplay
Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1,Mercury Steam,Castlevania: Lords of Shadow,Castlevania: Lords of Shadow,PS3,2010,Mature 17+,17160976,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,KCET,Silent Hill 2,Silent Hill 2,PS2,2001,Mature 17+,16580021,"Jeu d'action ; jeu d'aventure. - Repris en 2002 sous le titre ""Silent Hill 2, inner fears"" pour la Xbox. - Réédité en 2002 sous le titre ""Silent Hill 2, director's cut"" (avec un scénario supplémentaire)"
Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,KCEJ,Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater,PS2,2004,Mature 17+,16628347,"Jeu d'action ; jeu d'aventure. - Intitulé ""Metal gear solid 3. Subsistence"" dans une version enrichie, entre autres, des 2 premiers épisodes de la série. - Intitulé ""Metal gear solid. Snake eater 3D"" sur Nintendo 3DS et sorti en 2012, cette version comporte un gameplay spécifique à la console"
Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,KCEJ,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Mature 17+,16628324,"Jeu d'action ; jeu d'aventure. - Intitulé ""Metal gear solid 2. Substance"" dans une version enrichie notamment  de missions supplémentaires"
Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,Kojima Productions,Metal Gear Solid 4: Guns of the Patriots,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Mature 17+,16628317,Jeu d'action ; jeu d'aventure
Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,Kojima Productions,Metal Gear Solid 4: Guns of the Patriots,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Mature 17+,16628317,"Première sortie en Europe, Amérique du Nord et au Japon"
Action,Microids,0.08,0.02,0.0,0.0,0.1,Microids,Syberia,Syberia,XBox,2002,Teen,16775474,Jeu d'aventure
Action,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33,From Software,Ninja Blade,Ninja Blade,XBox360,2009,Mature 17+,16727697,Jeu d'action
Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,Team Ninja,Ninja Gaiden,Ninja Gaiden,XBox,2004,Mature 17+,16917999,"Jeu d'action ; jeu d'aventure. - Une version pour PlayStation 3 intitulée ""Ninja gaiden, sigma"" est sortie en 2007, avec quelques variantes de gameplay et un mode de jeu supplémentaire"
Action,Microsoft Game Studios,1.05,0.52,0.03,0.14,1.74,Terminal Reality,Kinect Star Wars,Kinect Star Wars,XBox360,2012,Teen,16634980,Jeu d'action
Action,Midway Games,0.23,0.07,0.0,0.01,0.31,Midway Studios - Los Angeles,Mortal Kombat: Shaolin Monks,Mortal Kombat: Shaolin Monks,XBox,2005,Mature 17+,16974909,Jeu d'action ; jeu d'aventure
Action,Midway Games,0.58,0.02,0.0,0.09,0.69,Midway Studios - Los Angeles,Mortal Kombat: Shaolin Monks,Mortal Kombat: Shaolin Monks,PS2,2005,Mature 17+,16974909,Jeu d'action ; jeu d'aventure
Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,Freedom Factory Studios,Young Justice: Legacy,Young Justice: Legacy,XBox360,2013,Teen,16912767,"Jeu d'action ; jeu d'aventure. - Adapté de la série d'animation ""Young justice"" de Brandon Vietti et Greg Weisman"
Action,Namco Bandai Games,0.06,0.01,0.0,0.02,0.09,Freedom Factory Studios,Young Justice: Legacy,Young Justice: Legacy,PS3,2013,Teen,16912767,"Jeu d'action ; jeu d'aventure. - Adapté de la série d'animation ""Young justice"" de Brandon Vietti et Greg Weisman"
Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,Namco,Ridge Racer V,Ridge Racer V,PS2,2000,Everyone,16590944,Jeu de pilotage
Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,Project Aces,Ace Combat: Assault Horizon,Ace Combat: Assault Horizon,XBox360,2011,Teen,16564202,Jeu de pilotage ; jeu d'action
Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,Project Aces,Ace Combat: Assault Horizon,Ace Combat: Assault Horizon,PS3,2011,Teen,16564202,Jeu de pilotage ; jeu d'action
Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49,Namco,Pac-Man World 2,Pac-Man World 2,XBox,2002,Everyone,16686103,Jeu d'arcade
Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9,CD Projekt Red Studio,The Witcher 2: Assassins of Kings,The Witcher 2: Assassins of Kings,XBox360,2011,Mature 17+,16628252,Jeu d'action ; jeu de rôle
Action,Namco Bandai Games,1.26,0.05,0.0,0.21,1.51,Namco,Pac-Man World 2,Pac-Man World 2,PS2,2002,Everyone,16686103,Jeu d'arcade
Action,Nintendo,2.03,1.16,0.37,0.38,3.95,Nintendo,The Legend of Zelda: Skyward Sword,The Legend of Zelda: Skyward Sword,Wii,2011,Everyone 10+,16548937,Jeu d'action ; jeu d'aventure
Action,Nintendo,3.74,2.14,0.6,0.68,7.15,Nintendo,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,Wii,2006,Teen,16548920,Jeu d'action ; jeu d'aventure. - Version en haute définition pour Nintendo Wii U sortie en mars 2016
Action,Rising Star Games,0.29,0.17,0.04,0.05,0.55,Grasshopper Manufacture,No More Heroes,No More Heroes,Wii,2007,Mature 17+,16717367,"Jeu d'action ; jeu d'aventure. - Les versions Xbox 360 et PlayStation 3 intitulées ""Nō moa hīrōzu : eiyūtachi no rakuen"" au Japon et ""No more  heroes : heroes' paradise"" en Amérique du Nord et Europe comprennent des graphismes améliorés et du contenu additionnel et sont sorties en 2010. - Une version PlayStation 3 intitulée ""No more heroes : red zone edition"" est ressortie au Japon en juillet 2011"
Action,Sega,0.07,0.05,0.0,0.02,0.14,Liquid Entertainment,Thor: God of Thunder,Thor: God of Thunder,PS3,2011,Teen,16601724,"Jeu d'action. - Adapté du film réalisé par Kenneth Branagh ""Thor"""
Action,Sega,0.09,0.04,0.0,0.01,0.14,Liquid Entertainment,Thor: God of Thunder,Thor: God of Thunder,XBox360,2011,Teen,16601724,"Jeu d'action. - Adapté du film réalisé par Kenneth Branagh ""Thor"""
Action,Sega,0.09,0.06,0.02,0.02,0.19,Sega,Binary Domain,Binary Domain,XBox360,2012,Mature 17+,16635152,Jeu d'action
Action,Sega,0.09,0.06,0.02,0.02,0.19,Sega,Binary Domain,Binary Domain,XBox360,2012,Mature 17+,16635152,Sortie en Europe et Amérique du Nord le même mois
Action,Sega,0.09,0.07,0.14,0.03,0.33,Sega,Binary Domain,Binary Domain,PS3,2012,Mature 17+,16635152,Jeu d'action
Action,Sega,0.09,0.07,0.14,0.03,0.33,Sega,Binary Domain,Binary Domain,PS3,2012,Mature 17+,16635152,Sortie en Europe et Amérique du Nord le même mois
Action,Sega,0.1,0.04,0.0,0.01,0.15,Red Fly Studio,Thor: God of Thunder,Thor: God of Thunder,Wii,2011,Teen,16601724,"Jeu d'action. - Adapté du film réalisé par Kenneth Branagh ""Thor"""
Action,Sega,0.13,0.14,0.0,0.06,0.32,Secret Level,Golden Axe: Beast Rider,Golden Axe: Beast Rider,PS3,2008,Mature 17+,16706017,Jeu d'action ; jeu d'aventure
Action,Sega,0.19,0.11,0.0,0.03,0.33,Secret Level,Golden Axe: Beast Rider,Golden Axe: Beast Rider,XBox360,2008,Mature 17+,16706017,Jeu d'action ; jeu d'aventure
Action,Sega,0.28,0.13,0.01,0.04,0.47,Sega,Rise of Nightmares,Rise of Nightmares,XBox360,2011,Mature 17+,16635182,Jeu d'action ; jeu d'aventure
Action,Sega,0.44,0.39,0.21,0.16,1.21,Nex Entertainment,Bayonetta,Bayonetta,PS3,2009,Mature 17+,17089141,Jeu d'action
Action,Sega,0.51,0.25,0.09,0.08,0.93,PlatinumGames,Bayonetta,Bayonetta,XBox360,2009,Mature 17+,17089141,Jeu d'action
Action,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,Bluepoint Games,Shadow of the Colossus,Shadow of the Colossus,PS3,2005,Teen,16597595,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,0.0,0.0,0.06,0.0,0.06,Bluepoint Games,Ico,Ico,PS3,2001,Teen,16597560,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,0.0,0.02,0.0,0.0,0.02,Magenta Software,Invizimals: The Lost Kingdom,Invizimals: The Lost Kingdom,PS3,2013,Everyone 10+,16905634,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,0.0,0.02,0.0,0.0,0.02,Magenta Software,Invizimals: The Lost Kingdom,Invizimals: The Lost Kingdom,PS3,2013,Everyone 10+,16905634,Première mise à disposition sur plate-formes de téléchargement (PlayStation store)
Action,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.1,Namco,Death by Degrees,Death by Degrees,PS2,2005,Mature 17+,16682848,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,0.14,0.11,0.0,0.05,0.29,The Workshop,Sorcery,Sorcery,PS3,2012,Everyone 10+,16634253,"Jeu d'action ; jeu d'aventure. - Intitulé ""Lord of sorcery"" au Japon"
Action,Sony Computer Entertainment,0.18,0.05,0.03,0.03,0.29,LightBox Interactive,Starhawk,Starhawk,PS3,2012,Teen,16628061,Jeu d'action
Action,Sony Computer Entertainment,0.23,0.18,0.0,0.06,0.47,SCE Japan Studio,Ico,Ico,PS2,2001,Teen,16597560,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,"Media Molecule, United Front Games",LittleBigPlanet Karting,LittleBigPlanet Karting,PS3,2012,Everyone,16690677,Jeu de pilotage
Action,Sony Computer Entertainment,0.5,0.27,0.04,0.15,0.95,SuperBot Entertainment,PlayStation All-Stars Battle Royale,PlayStation All-Stars Battle Royale,PS3,2012,Teen,16695738,Jeu d'action
Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,SCE Japan Studio,Shadow of the Colossus,Shadow of the Colossus,PS2,2005,Teen,16597595,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,1.05,0.47,0.08,0.22,1.82,Sucker Punch,InFamous 2,Infamous 2,PS3,2011,Teen,16593521,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,SCE Santa Monica,God of War: Ascension,God of War: Ascension,PS3,2013,Mature 17+,16727790,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,1.76,0.68,0.12,0.37,2.93,Sucker Punch,InFamous,Infamous,PS3,2009,Teen,16597956,"Jeu d'action, d'aventure"
Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,"Naughty Dog, SCE/WWS",Uncharted: Drake's Fortune,Uncharted: Drake's Fortune,PS3,2007,Teen,16584092,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,SCE Santa Monica,God of War II,God of War II,PS2,2007,Mature 17+,16649514,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,SCE Santa Monica,God of War,God of War,PS2,2005,Mature 17+,16649513,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,SCE Santa Monica,God of War III,God of War III,PS3,2010,Mature 17+,16649516,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,Naughty Dog,Uncharted 2: Among Thieves,Uncharted 2: Among Thieves,PS3,2009,Teen,16584190,Jeu d'action ; jeu d'aventure
Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,Naughty Dog,The Last of Us,The Last of Us,PS3,2013,Mature 17+,16935263,"Jeu d'action. - Intitulé ""The last of us, remastered"" sur PlayStation 4"
Action,Square Enix,0.05,0.05,0.02,0.02,0.14,Airtight Games,Murdered: Soul Suspect,Murdered: Soul Suspect,PS3,2014,Mature 17+,16934889,Jeu d'action ; jeu d'aventure
Action,Square Enix,0.06,0.03,0.0,0.01,0.1,Airtight Games,Murdered: Soul Suspect,Murdered: Soul Suspect,XBox360,2014,Mature 17+,16934889,Jeu d'action ; jeu d'aventure
Action,Square Enix,0.21,0.07,0.08,0.03,0.39,Square Enix,Final Fantasy Crystal Chronicles: The Crystal Bearers,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Teen,16577081,Jeu de d'action ; jeu de rôle
Action,Square Enix,0.31,0.49,0.05,0.19,1.04,United Front Games,Sleeping Dogs,Sleeping Dogs,PS3,2012,Mature 17+,16691101,Jeu d'action ; jeu d'aventure. - La version sortie en 2014 est reconstruite et remasteurisée et comprend tous les contenus téléchargeables préalablement disponibles
