nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
The Legend of Zelda: Ocarina of Time,The Legend of Zelda,Wii,2007,Nintendo Entertainment Analysis and Development,http://www.zelda.com/universe/game/ocarinatime/,Everyone 10+,PEGI 12,16546892t,
The Legend of Zelda: Ocarina of Time,The Legend of Zelda,Wii,2007,Nintendo Entertainment Analysis and Development,http://www.zelda.com/universe/game/ocarinatime/,Everyone 10+,PEGI 12,16546892t,
The Legend of Zelda: Ocarina of Time,The Legend of Zelda,Wii,2007,Nintendo Entertainment Analysis and Development,http://www.zelda.com/universe/game/ocarinatime/,Everyone 10+,PEGI 12,16546892t,
Need for Speed: Carbon,Need for Speed,Wii,2006,EA Canada,http://www.ea.com/need-for-speed-carbon,Everyone 10+,PEGI 7,,
Need for Speed: Carbon,Need for Speed,Wii,2006,EA Canada,http://www.ea.com/need-for-speed-carbon,Everyone 10+,PEGI 12,,
Wii Sports,Wii (série),Wii,2006,Nintendo Entertainment Analysis and Development,http://wiisports.nintendo.com/,Everyone,PEGI 7,,
Star Wars : Le Pouvoir de la Force 2,,Wii,2010,LucasArts,http://www.starwars.com/games-apps/star-wars-the-force-unleashed-ii,Teen,,,
"Lego Batman, le jeu vidéo",,Wii,2008,Traveller's Tales,http://www.legobatmangame.com/,Everyone 10+,PEGI 7,,
"Lego Batman, le jeu vidéo",,Wii,2008,Traveller's Tales,http://www.legobatmangame.com/,Everyone 10+,PEGI 7,,
Lego Indiana Jones : La Trilogie originale,Q1631855,Wii,2008,Traveller's Tales,http://www.legoindianajonesgame.com,Everyone 10+,PEGI 7,,
Lego Indiana Jones : La Trilogie originale,Q1631855,Wii,2009,Traveller's Tales,http://www.legoindianajonesgame.com,Everyone 10+,PEGI 7,,
Lego Indiana Jones : La Trilogie originale,Q1631855,Wii,2008,Traveller's Tales,http://www.lucasarts.com/games/legoindianajones/,Everyone 10+,PEGI 7,,
Lego Indiana Jones : La Trilogie originale,Q1631855,Wii,2009,Traveller's Tales,http://www.lucasarts.com/games/legoindianajones/,Everyone 10+,PEGI 7,,
Lego Indiana Jones 2 : L’aventure continue,Q1631855,Wii,2009,Traveller's Tales,http://www.lucasarts.com/games/legoindianajones2,Everyone,PEGI 7,,
Star Wars: The Clone Wars - Duels au sabre laser,,Wii,2008,Krome Studios,http://www.lucasarts.com/games/theclonewars/wii,,,,
Star Wars: The Clone Wars - Les Héros de la République,,Wii,2009,Krome Studios,http://www.lucasarts.com/games/theclonewars_republicheroes,Teen,PEGI 12,,
New Super Mario Bros. Wii,Super Mario,Wii,2009,Nintendo Entertainment Analysis and Development,http://mariobroswii.com,Everyone,PEGI 3,,
New Super Mario Bros. Wii,Super Mario,Wii,2009,Nintendo Entertainment Analysis and Development,http://mariobroswii.com,Everyone,PEGI 3,,
New Super Mario Bros. Wii,Super Mario,Wii,2009,Nintendo Entertainment Analysis and Development,http://mariobroswii.com,Everyone,PEGI 3,,
New Super Mario Bros. Wii,Super Mario,Wii,2009,Nintendo Entertainment Analysis and Development,http://mariobroswii.com,Everyone,PEGI 3,,
Super Mario Galaxy,Super Mario,Wii,2007,Nintendo Entertainment Analysis and Development,http://www.nintendo.co.jp/wii/rmgj/,Everyone,PEGI 3,16694745r,
