nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,id Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2001,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2006,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Doom,Doom,Xbox,2012,Nerve Software,http://bethsoft.com/games/doom,Mature 17+,PEGI 18,,
Half-Life 2,Half-Life,Xbox,2004,Valve Corporation,http://orange.half-life2.com/hl2.html,Mature 17+,PEGI 16,,6c43645a-9672-3c63-a867-165ece8135aa
Half-Life 2,Half-Life,Xbox,2004,Valve Corporation,http://orange.half-life2.com/hl2.html,Mature 17+,PEGI 16,,6c43645a-9672-3c63-a867-165ece8135aa
Half-Life 2,Half-Life,Xbox,2005,Valve Corporation,http://orange.half-life2.com/hl2.html,Mature 17+,PEGI 16,,6c43645a-9672-3c63-a867-165ece8135aa
Half-Life 2,Half-Life,Xbox,2005,Valve Corporation,http://orange.half-life2.com/hl2.html,Mature 17+,PEGI 16,,6c43645a-9672-3c63-a867-165ece8135aa
Half-Life 2,Half-Life,Xbox,2005,Valve Corporation,http://orange.half-life2.com/hl2.html,Mature 17+,PEGI 16,,6c43645a-9672-3c63-a867-165ece8135aa
Half-Life 2,Half-Life,Xbox,2005,Valve Corporation,http://orange.half-life2.com/hl2.html,Mature 17+,PEGI 16,,6c43645a-9672-3c63-a867-165ece8135aa
The King of Fighters 2002,The King of Fighters,Xbox,2002,SNK Playmore,,Teen,,,
The King of Fighters 2002,The King of Fighters,Xbox,2002,SNK Playmore,,Teen,,,
Doom 3,Doom,Xbox,2004,id Software,,Mature 17+,PEGI 18,,
Doom 3,Doom,Xbox,2004,id Software,,Mature 17+,PEGI 18,,
