nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Brothers in Arms: Road to Hill 30,Brothers in Arms,PlayStation 2,2005,Gearbox Software,http://www.brothersinarmsgame.com/,Mature 17+,PEGI 16,,
Baldur's Gate: Dark Alliance 2,Baldur's Gate,PlayStation 2,2013,Black Isle Studios,,,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,High Voltage Software,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2001,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2002,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2003,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Snowblind Studios,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,PlayStation 2,2004,Snowblind Studios,,Teen,PEGI 12,,
Commandos 2: Men of Courage,Commandos,PlayStation 2,2001,Pyro Studios,,Teen,PEGI 12,,
Grand Theft Auto V,Grand Theft Auto,PlayStation 2,2013,Rockstar North,http://www.rockstargames.com/V/,Mature 17+,PEGI 18,,
Grand Theft Auto V,Grand Theft Auto,PlayStation 2,2013,Rockstar North,http://www.rockstargames.com/V/,Mature 17+,PEGI 18,,
Grand Theft Auto V,Grand Theft Auto,PlayStation 2,2014,Rockstar North,http://www.rockstargames.com/V/,Mature 17+,PEGI 18,,
Grand Theft Auto V,Grand Theft Auto,PlayStation 2,2015,Rockstar North,http://www.rockstargames.com/V/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 2,2004,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 2,2005,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 2,2008,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 2,2010,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 2,2012,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Star Wars: Battlefront,Star Wars: Battlefront,PlayStation 2,2004,Pandemic Studios,http://www.lucasarts.com/games/swbattlefront/,,,,
Star Wars: Battlefront,Star Wars: Battlefront,PlayStation 2,2005,Pandemic Studios,http://www.lucasarts.com/games/swbattlefront/,,,,
Star Wars: Battlefront 2,Star Wars: Battlefront,PlayStation 2,2005,Pandemic Studios,http://www.lucasarts.com/games/swbattlefrontii/indexFlash.html#,Teen,PEGI 12,,
Star Wars: Battlefront 2,Star Wars: Battlefront,PlayStation 2,2005,Savage entertainment,http://www.lucasarts.com/games/swbattlefrontii/indexFlash.html#,Teen,PEGI 12,,
Lego Star Wars : Le Jeu vidéo,Lego Star Wars,PlayStation 2,2005,Traveller's Tales,,Everyone,PEGI 3,,
Star Wars: Bounty Hunter,,PlayStation 2,2002,LucasArts,,,,,
Star Wars: Starfighter,,PlayStation 2,2001,LucasArts,,Teen,,,
Star Wars: Super Bombad Racing,,PlayStation 2,2001,,,,,,
Star Wars: Jedi Starfighter,,PlayStation 2,2002,LucasArts,,,,,
Star Wars: The Clone Wars,,PlayStation 2,2002,Pandemic Studios,,,,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Grand Theft Auto III,Grand Theft Auto,PlayStation 2,2001,Rockstar North,http://www.rockstargames.com/grandtheftauto3/,Mature 17+,PEGI 18,16599580r,
Grand Theft Auto III,Grand Theft Auto,PlayStation 2,2001,Rockstar North,http://www.rockstargames.com/grandtheftauto3/,Mature 17+,PEGI 18,16599580r,
Grand Theft Auto III,Grand Theft Auto,PlayStation 2,2001,Rockstar Vienna,http://www.rockstargames.com/grandtheftauto3/,Mature 17+,PEGI 18,16599580r,
Grand Theft Auto III,Grand Theft Auto,PlayStation 2,2001,Rockstar Vienna,http://www.rockstargames.com/grandtheftauto3/,Mature 17+,PEGI 18,16599580r,
Grand Theft Auto III,Grand Theft Auto,PlayStation 2,2001,Q13581128,http://www.rockstargames.com/grandtheftauto3/,Mature 17+,PEGI 18,16599580r,
Grand Theft Auto III,Grand Theft Auto,PlayStation 2,2001,Q13581128,http://www.rockstargames.com/grandtheftauto3/,Mature 17+,PEGI 18,16599580r,
The Incredible Hulk: Ultimate Destruction,,PlayStation 2,2005,Radical Entertainment,,,,,
The Incredible Hulk,,PlayStation 2,2008,Edge of Reality,,Teen,PEGI 16,,
007: Nightfire,Jeux vidéo James Bond,PlayStation 2,2002,Eurocom,,Teen,PEGI 12,,
007 : Quitte ou double,Jeux vidéo James Bond,PlayStation 2,2003,Griptonite Games,,Teen,PEGI 12,,
Mafia: The City of Lost Heaven,Q21526531,PlayStation 2,2002,2K Czech,http://www.mafia-game.cz/,Mature 17+,PEGI 18,,78d9896a-1c21-3077-8578-49558241b9cb
24 heures chrono : Le Jeu,,PlayStation 2,2006,SCE Studio Cambridge,,Mature 17+,PEGI 16,,
Project Snowblind,,PlayStation 2,2005,Crystal Dynamics,,,,,
Need for Speed: Carbon,Need for Speed,PlayStation 2,2006,EA Canada,http://www.ea.com/need-for-speed-carbon,Everyone 10+,PEGI 7,,
Need for Speed: Carbon,Need for Speed,PlayStation 2,2006,EA Canada,http://www.ea.com/need-for-speed-carbon,Everyone 10+,PEGI 12,,
Need for Speed: Most Wanted,Need for Speed,PlayStation 2,2005,EA Black Box,http://www.ea.com/need-for-speed-most-wanted,Teen,PEGI 3,,
Need for Speed: Most Wanted,Need for Speed,PlayStation 2,2005,EA Black Box,http://www.ea.com/need-for-speed-most-wanted,Teen,PEGI 12,,
Megaman X Command Mission,Mega Man,PlayStation 2,2004,Capcom,,Everyone,PEGI 7,,
"Lego Batman, le jeu vidéo",,PlayStation 2,2008,Traveller's Tales,http://www.legobatmangame.com/,Everyone 10+,PEGI 7,,
"Lego Batman, le jeu vidéo",,PlayStation 2,2008,Traveller's Tales,http://www.legobatmangame.com/,Everyone 10+,PEGI 7,,
Lego Indiana Jones : La Trilogie originale,Q1631855,PlayStation 2,2008,Traveller's Tales,http://www.legoindianajonesgame.com,Everyone 10+,PEGI 7,,
