id,titre,description,date
17151504,Steep : jeu vidéo,Jeu de simulation sportive,2016-11
16915771,Scribblenauts : jeu vidéo,Série de jeux vidéo,2009
16935995,Kyassuruvania : jeu vidéo,Édité par Konami Digital entertainment,1986-09
16942477,Alone in the dark : jeu vidéo,Série de jeux vidéo,1992
16591071,Star wars. Knights of the old republic : jeu vidéo,Édité par LucasArts,2003
16592051,F1 2009 : jeu vidéo,Jeu de pilotage,2009-11
16596119,Patrizier : jeu vidéo,Série de jeux vidéo,1992
17073329,Star ocean : jeu vidéo,Édité par Square Enix,1996-07
17098227,Monopoly : jeu vidéo,Édité par Leisure genius puis différents éditeurs suivant les plateformes et les titres,1985
17098712,Risk : jeu vidéo,"Jeu de réflexion. - Adapté du jeu de société du même nom, créé par Albert Lamorisse et commercialisé par Parker brothers puis Hasbro",2015-02
16569507,Lemmings : jeu vidéo,Série de jeux vidéo,1991
16571838,Motionsports : jeu vidéo,Édité par Ubisoft,2010-11
16571864,Just dance : jeu vidéo,Série de jeux vidéo,2009
16574617,Worms : jeu vidéo,Édité par Team 17 software,1995
16575156,Driver : jeu vidéo,Série de jeux vidéo,1999
17089160,Bayonetta : jeu vidéo,Série de jeux vidéo,2009
17703673,Fire power : jeu vidéo,Série de jeux vidéo,1987
16674320,Destroy all humans ! : jeu vidéo,Série de jeux vidéo,2005
16683187,Wolfenstein : jeu vidéo,"Édité par Muse software jusqu'en 1984, par Apogee en 1992, par Activision entre 2001 et 2009 et par Bethesda softworks depuis 2014",1981
16767438,Race driver. GRID : jeu vidéo,Série de jeux vidéo,2008
16775669,Monument builders : jeu vidéo,Série de jeux vidéo,2011
16712675,One piece : jeu vidéo,"Série de jeux vidéo. - Adapté ou inspiré de la bande dessinée et du dessin animé ""One piece"" d'Eiichirō Oda",2000
16712675,One piece : jeu vidéo,Édité par Bandai puis Namco Bandai games,2000
17167250,Barbarian : jeu vidéo,"Jeu d'action. - Intitulé ""Warrior blade. Rasutan VS Bābarian hen"" au Japon",2002-06
16912416,Zoo tycoon : jeu vidéo,Série de jeux vidéo,2001
16704002,Alex Kidd. Tenkū majō : jeu vidéo,Jeu d'aventure,1989-02
16704114,Alex Kidd : jeu vidéo,Série de jeux vidéo,1986
16704582,Space invaders : jeu vidéo,Jeu d'arcade,1978-06
16706022,Golden axe III : jeu vidéo,Édité par SEGA,1993-06
16706183,Virtua cop : jeu vidéo,Édité par SEGA,1994
16740428,Kingdom under fire : jeu vidéo,Série de jeux vidéo,2001
16644661,Ice age : jeu vidéo,"Premier épisode édité par Ubisoft, deuxième par Vivendi games. Licence reprise par Activision en 2009",2002
