nameLabel,seriesLabel,platformLabel,pub_year,genreLabel,publisherLabel,developerLabel,image,website,esrbLabel,pegiLabel,bnf,musicbrainz
Half-Life 2: Episode One,Half-Life,Linux,2006,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Microsoft Windows,2007,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Xbox 360,2010,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,PlayStation 3,2007,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Linux,2007,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Xbox 360,2006,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Microsoft Windows,2008,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Amnesia: The Dark Descent,,Microsoft Windows,2010,Horreur psychologique,THQ,Frictional Games,,http://www.amnesiagame.com/,Mature 17+,,,
Half-Life 2: Episode One,Half-Life,PlayStation 3,2008,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,macOS,2010,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Linux,2008,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Xbox 360,2007,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Amnesia: The Dark Descent,,Microsoft Windows,2010,Horreur psychologique,Frictional Games,Frictional Games,,http://www.amnesiagame.com/,Mature 17+,,,
Half-Life 2: Episode One,Half-Life,macOS,2006,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Empire Earth,Empire Earth,Microsoft Windows,2001,stratégie en temps réel,Sierra Entertainment,Stainless Steel Studios,,,Teen,PEGI 12,,
Half-Life 2: Episode One,Half-Life,Xbox 360,2008,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Microsoft Windows,2010,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Empire Earth,Empire Earth,Microsoft Windows,2001,jeu vidéo de stratégie,Sierra Entertainment,Stainless Steel Studios,,,Teen,PEGI 12,,
Half-Life 2: Episode One,Half-Life,macOS,2007,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Amnesia: The Dark Descent,,Linux,2010,Horreur psychologique,THQ,Frictional Games,,http://www.amnesiagame.com/,Mature 17+,,,
Half-Life 2: Episode One,Half-Life,PlayStation 3,2010,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Rappelz,,Microsoft Windows,2009,fantasy,Webzen Games,,,http://rappelz.su,,,,
Half-Life 2: Episode One,Half-Life,Microsoft Windows,2006,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,Linux,2010,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Amnesia: The Dark Descent,,Linux,2010,Horreur psychologique,Frictional Games,Frictional Games,,http://www.amnesiagame.com/,Mature 17+,,,
Half-Life 2: Episode One,Half-Life,PlayStation 3,2006,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Half-Life 2: Episode One,Half-Life,macOS,2008,jeu de tir en vue subjective,Valve Corporation,Valve Corporation,,http://orange.half-life2.com/hl2ep1.html,Mature 17+,PEGI 16,,
Civilization III,Civilization,Mac OS,2001,jeu vidéo de simulation,Infogrames,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,macOS,2001,jeu vidéo de simulation,Infogrames,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,Microsoft Windows,2001,jeu vidéo de simulation,Infogrames,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,Mac OS,2001,jeu de stratégie au tour par tour,MacSoft Games,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,macOS,2001,jeu de stratégie au tour par tour,MacSoft Games,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,Microsoft Windows,2001,jeu de stratégie au tour par tour,MacSoft Games,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,Mac OS,2001,Perspective isométrique,Atari,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,Mac OS,2006,Perspective isométrique,Atari,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,macOS,2001,Perspective isométrique,Atari,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,macOS,2006,Perspective isométrique,Atari,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,Microsoft Windows,2001,Perspective isométrique,Atari,Aspyr,,http://www.civ3.com/,,,,
Civilization III,Civilization,Microsoft Windows,2006,Perspective isométrique,Atari,Aspyr,,http://www.civ3.com/,,,,
