nameLabel,seriesLabel,platformLabel,pub_year,genreLabel,publisherLabel,developerLabel,image,website,esrbLabel,pegiLabel,bnf,musicbrainz
XCOM: Enemy Unknown,X-COM,Xbox 360,2012,jeu de stratégie au tour par tour,2K Games,Firaxis Games,,http://www.xcom.com/enemyunknown/,Mature 17+,PEGI 18,,
DC Universe Online,DC Comics,PlayStation 3,2011,jeu de rôle en ligne massivement multijoueur,Sony Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
DC Universe Online,DC Comics,PlayStation 3,2013,jeu de rôle en ligne massivement multijoueur,Sony Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,jeu d'action-aventure,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,jeu d'action-aventure,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,jeu d'infiltration,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,jeu d'action-aventure,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,jeu d'infiltration,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
XCOM: Enemy Unknown,X-COM,iOS,2012,jeu de stratégie au tour par tour,2K Games,Firaxis Games,,http://www.xcom.com/enemyunknown/,Mature 17+,PEGI 18,,
DC Universe Online,DC Comics,PlayStation 4,2011,jeu de rôle en ligne massivement multijoueur,Warner Bros. Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
DC Universe Online,DC Comics,PlayStation 4,2011,jeu de rôle en ligne massivement multijoueur,Q4806327,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Sonic the Hedgehog 2,Sonic,Console virtuelle,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
DC Universe Online,DC Comics,PlayStation 4,2013,jeu de rôle en ligne massivement multijoueur,Warner Bros. Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
DC Universe Online,DC Comics,PlayStation 4,2013,jeu de rôle en ligne massivement multijoueur,Q4806327,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,monde ouvert,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,jeu d'infiltration,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
DC Universe Online,DC Comics,Microsoft Windows,2011,jeu de rôle en ligne massivement multijoueur,Sony Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,monde ouvert,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
InFamous 2,InFamous,PlayStation 3,2011,monde ouvert,Sony Interactive Entertainment,Sucker Punch Productions,,http://www.infamousthegame.com,Teen,PEGI 16,,
DC Universe Online,DC Comics,Microsoft Windows,2013,jeu de rôle en ligne massivement multijoueur,Sony Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,jeu d'action-aventure,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,jeu d'infiltration,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,jeu d'action-aventure,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,Mega Drive,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,jeu d'action-aventure,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,jeu d'infiltration,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,PlayStation 2,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
DC Universe Online,DC Comics,PlayStation 3,2011,jeu de rôle en ligne massivement multijoueur,Warner Bros. Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
DC Universe Online,DC Comics,PlayStation 3,2011,jeu de rôle en ligne massivement multijoueur,Q4806327,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
XCOM: Enemy Unknown,X-COM,macOS,2012,jeu de stratégie au tour par tour,2K Games,Firaxis Games,,http://www.xcom.com/enemyunknown/,Mature 17+,PEGI 18,,
DC Universe Online,DC Comics,PlayStation 3,2013,jeu de rôle en ligne massivement multijoueur,Warner Bros. Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Sonic the Hedgehog 2,Sonic,Microsoft Windows,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
DC Universe Online,DC Comics,PlayStation 3,2013,jeu de rôle en ligne massivement multijoueur,Q4806327,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,monde ouvert,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,Android,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,monde ouvert,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,téléphone mobile,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Forza Motorsport 4,Forza Motorsport,Xbox 360,2011,Sim racing,Microsoft Studios,Turn 10 Studios,,http://www.forzamotorsport.net/,Everyone,PEGI 3,,
Sonic the Hedgehog 2,Sonic,Windows Phone,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,jeu d'action-aventure,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
DC Universe Online,DC Comics,Microsoft Windows,2011,jeu de rôle en ligne massivement multijoueur,Warner Bros. Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
DC Universe Online,DC Comics,Microsoft Windows,2011,jeu de rôle en ligne massivement multijoueur,Q4806327,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,jeu d'action-aventure,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,jeu d'infiltration,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,jeu d'infiltration,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
DC Universe Online,DC Comics,Microsoft Windows,2013,jeu de rôle en ligne massivement multijoueur,Warner Bros. Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
DC Universe Online,DC Comics,Microsoft Windows,2013,jeu de rôle en ligne massivement multijoueur,Q4806327,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,jeu d'action-aventure,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,jeu d'infiltration,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,Nintendo DS,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
XCOM: Enemy Unknown,X-COM,Microsoft Windows,2012,jeu de stratégie au tour par tour,2K Games,Firaxis Games,,http://www.xcom.com/enemyunknown/,Mature 17+,PEGI 18,,
XCOM: Enemy Unknown,X-COM,Android,2012,jeu de stratégie au tour par tour,2K Games,Firaxis Games,,http://www.xcom.com/enemyunknown/,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,jeu d'action-aventure,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Age of Empires Online,Age of Empires,Microsoft Windows,2011,Q1143087,Microsoft Studios,Gas Powered Games,,http://www.ageofempiresonline.com,,PEGI 12,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,monde ouvert,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,jeu d'action-aventure,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,GameCube,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Assassin's Creed III,Assassin's Creed,Microsoft Windows,2012,jeu d'infiltration,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,jeu d'infiltration,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
XCOM: Enemy Unknown,X-COM,PlayStation 3,2012,jeu de stratégie au tour par tour,2K Games,Firaxis Games,,http://www.xcom.com/enemyunknown/,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Wii U,2012,monde ouvert,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,Game Gear,2012,jeu de plates-formes,Sega,Aspect Co.,,,Everyone,PEGI 3,,
Sonic the Hedgehog 2,Sonic,Game Gear,2013,jeu de plates-formes,Sega,Aspect Co.,,,Everyone,PEGI 3,,
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,jeu d'action-aventure,Ubisoft,Ubisoft Annecy,,,Mature 17+,PEGI 18,,
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,jeu d'infiltration,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
XCOM: Enemy Unknown,X-COM,Linux,2012,jeu de stratégie au tour par tour,2K Games,Firaxis Games,,http://www.xcom.com/enemyunknown/,Mature 17+,PEGI 18,,
DC Universe Online,DC Comics,PlayStation 4,2011,jeu de rôle en ligne massivement multijoueur,Sony Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
DC Universe Online,DC Comics,PlayStation 4,2013,jeu de rôle en ligne massivement multijoueur,Sony Interactive Entertainment,Daybreak Game Company,,http://www.dcuniverseonline.com/,Teen,,,
Sonic the Hedgehog 2,Sonic,iOS,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Sonic the Hedgehog 2,Sonic,Master System,2012,jeu de plates-formes,Sega,Aspect Co.,,,Everyone,PEGI 3,,
Sonic the Hedgehog 2,Sonic,Master System,2013,jeu de plates-formes,Sega,Aspect Co.,,,Everyone,PEGI 3,,
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,monde ouvert,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Age of Empires Online,Age of Empires,Microsoft Windows,2011,Q1143087,Microsoft Studios,Robot Entertainment,,http://www.ageofempiresonline.com,,PEGI 12,,
Assassin's Creed III,Assassin's Creed,Xbox 360,2012,monde ouvert,Ubisoft,Ubisoft Montréal,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,Xbox,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Sonic the Hedgehog 2,Sonic,Xbox Live Arcade,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
InFamous 2,InFamous,PlayStation 3,2011,jeu d'action-aventure,Sony Interactive Entertainment,Sucker Punch Productions,,http://www.infamousthegame.com,Teen,PEGI 16,,
Assassin's Creed III,Assassin's Creed,PlayStation 3,2012,jeu d'infiltration,Ubisoft,Ubisoft Romania,,,Mature 17+,PEGI 18,,
Sonic the Hedgehog 2,Sonic,Nintendo 3DS,2013,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 7,,a81b8183-aebe-4c0d-9090-cfbf0984b308
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Nintendo DS,2011,jeu de plates-formes,LucasArts,Traveller's Tales,,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Mass Effect,Q16267378,Xbox 360,2012,jeu vidéo de rôle,Electronic Arts,Edge of Reality,,http://masseffect.bioware.com/me1,Mature 17+,PEGI 18,,e2d61275-2bed-46e0-be28-228068aedbdc
Final Fantasy VII,Final Fantasy,iOS,2013,jeu vidéo de rôle,Square Enix,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Angry Birds Star Wars,Angry Birds,macOS,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Angry Birds Star Wars,Angry Birds,Microsoft Windows,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Final Fantasy VII,Final Fantasy,Microsoft Windows,2013,jeu vidéo de rôle,Square Enix,Square,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20Fantasy%20wordmark.svg,http://na.square-enix.com/us/games/final-fantasy-vii,Teen,PEGI 12,,
Angry Birds Star Wars,Angry Birds,Xbox One,2012,cross-over,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Angry Birds Star Wars,Angry Birds,Wii U,2012,jeu vidéo de réflexion,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Angry Birds Star Wars,Angry Birds,Xbox 360,2012,jeu vidéo de réflexion,LucasArts,Rovio Entertainment,,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Black Mesa,Half-Life,Microsoft Windows,2012,jeu de tir en vue subjective,Q33543336,Q33543336,,http://www.blackmesasource.com/,,,,
