nameLabel,seriesLabel,platformLabel,pub_year,genreLabel,publisherLabel,developerLabel,image,website,esrbLabel,pegiLabel,bnf,musicbrainz
Tetris,,Game Boy Advance,1984,jeu vidéo de réflexion,Infogrames,Vadim Guerassimov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
Tetris,,Apple IIGS,1984,jeu vidéo de réflexion,Infogrames,Vadim Guerassimov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
California Games,,ZX Spectrum,1987,jeu vidéo de sport,Epyx,Epyx,,,,,,
Cabal,,ZX Spectrum,1988,shoot 'em up,Taito,TAD,,,,,,
Tetris,,PC-98,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
Tetris,,Nintendo Entertainment System,1984,jeu vidéo de réflexion,Infogrames,Vadim Guerassimov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
L'Arche du Captain Blood,,Commodore 64,1988,jeu vidéo de simulation,Infogrames,ERE Informatique,,,,,,
Tetris,,Mega Drive,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
L'Arche du Captain Blood,,Amiga,1988,jeu vidéo de simulation,Infogrames,ERE Informatique,,,,,,
Tetris,,CD-i,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
California Games,,Amstrad CPC,1987,jeu vidéo de sport,Epyx,Epyx,,,,,,
Cabal,,Amstrad CPC,1988,shoot 'em up,Taito,TAD,,,,,,
Cabal,,ZX Spectrum,1988,shoot 'em up,Fabtek,TAD,,,,,,
California Games,,MSX,1987,jeu vidéo de sport,Epyx,Epyx,,,,,,
Tetris,,Commodore 64,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
L'Arche du Captain Blood,,Amstrad CPC,1988,aventure,Infogrames,ERE Informatique,,,,,,
California Games,,Nintendo Entertainment System,1987,jeu vidéo de sport,Epyx,Epyx,,,,,,
Cabal,,Nintendo Entertainment System,1988,shoot 'em up,Taito,TAD,,,,,,
Tetris,,Amstrad PCW,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
Tetris,,Amstrad CPC,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
Tetris,,Game Boy,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
Tetris,,Amiga,1984,jeu vidéo de réflexion,Infogrames,Vadim Guerassimov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
Cabal,,Amstrad CPC,1988,shoot 'em up,Fabtek,TAD,,,,,,
Tetris,,MSX,1984,jeu vidéo de réflexion,Infogrames,Alekseï Pajitnov,http://commons.wikimedia.org/wiki/Special:FilePath/Tetris.jpg,http://tetris.com/,,,,
