nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
F1 2012,jeu vidéo de Formule 1,PlayStation 3,2012,Codemasters,Feral Interactive,http://www.formula1-game.com/,Everyone,PEGI 3,,
F1 2012,jeu vidéo de Formule 1,Xbox 360,2012,Codemasters,Feral Interactive,http://www.formula1-game.com/,Everyone,PEGI 3,,
Détective Conan : Enquête à Mirapolis,Détective Conan,Wii,2007,Marvelous Entertainment,Marvelous Entertainment,http://www.maql.co.jp/special/game/wii/conan/,,PEGI 7,,
Godzilla: Destroy All Monsters Melee,,Xbox,2002,Atari,Q4351336,,Teen,PEGI 7,,
Disgaea 3: Absence of Justice,Q5102631,PlayStation 3,2008,Nippon Ichi Software,Nippon Ichi Software,,Teen,,,
Ninja Gaiden Sigma,Ninja Gaiden,PlayStation 3,2007,Tecmo,Team Ninja,http://www.ninjagaiden.jp/ngs/index.html,Mature 17+,PEGI 18,,
Berserk: Millennium Falcon Hen Seima Senki no Shō,,PlayStation 2,2004,Sammy,Yuke's Media Creation,,Mature 17+,,,
EyeToy: Kinetic,Q5422591,PlayStation 2,2005,Sony Interactive Entertainment,SCE London Studio,,,,,
Toy Soldiers,,Xbox 360,2010,Microsoft Studios,Signal Studios,,,,,
Marc Ecko's Getting Up: Contents Under Pressure,,PlayStation 2,2006,Atari,The Collective,,,,,
Marc Ecko's Getting Up: Contents Under Pressure,,Xbox,2006,Atari,The Collective,,,,,
Marc Ecko's Getting Up: Contents Under Pressure,,PlayStation 2,2006,Devolver Digital,The Collective,,,,,
Marc Ecko's Getting Up: Contents Under Pressure,,Xbox,2006,Devolver Digital,The Collective,,,,,
Marc Ecko's Getting Up: Contents Under Pressure,,PlayStation 2,2013,Atari,The Collective,,,,,
