nameLabel,seriesLabel,platformLabel,pub_year,genreLabel,publisherLabel,developerLabel,image,website,esrbLabel,pegiLabel,bnf,musicbrainz
Age of Empires II: The Age of Kings,Age of Empires,PlayStation 2,1999,stratégie en temps réel,Microsoft,Ensemble Studios,,http://www.microsoft.com/games/age2/,Teen,,,
Age of Empires II: The Age of Kings,Age of Empires,Mac OS,1999,stratégie en temps réel,Konami,Ensemble Studios,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Le Trésor des Toltèques,,DOS,1996,jeu d'aventure,Time Warner,,,,,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,macOS,2000,jeu vidéo de rôle,Interplay Entertainment,Q14001326,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,Microsoft Windows,2000,jeu vidéo de rôle,MacPlay,BioWare,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,macOS,2000,jeu vidéo de rôle,Black Isle Studios,Q14001326,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Diablo II,Diablo,Microsoft Windows,2000,jeu vidéo de rôle,Blizzard Entertainment,Blizzard North,,http://www.blizzard.com/games/d2/,Mature 17+,PEGI 16,,
The Humans,,3DO Interactive Multiplayer,1992,jeu vidéo de réflexion,GameTek,Imagitec Design,,,,,,
Age of Empires II: The Age of Kings,Age of Empires,Mac OS,1999,stratégie en temps réel,Microsoft,Ensemble Studios,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Neon Genesis Evangelion,,Nintendo 64,1999,jeu d'action,Namco Bandai Holdings,Bandai,,,,,,
Stronghold,,MS-DOS,1993,stratégie en temps réel,Strategic Simulations,Stormfront Studios,,,,,,
Diablo II,Diablo,Mac OS,2000,action-RPG,Blizzard Entertainment,Blizzard North,,http://www.blizzard.com/games/d2/,Mature 17+,PEGI 16,,
The Humans,,Atari ST,1992,jeu vidéo de réflexion,GameTek,Imagitec Design,,,,,,
The Humans,,DOS,1992,jeu vidéo de réflexion,GameTek,Imagitec Design,,,,,,
Age of Empires II: The Age of Kings,Age of Empires,Microsoft Windows,1999,stratégie en temps réel,Konami,Ensemble Studios,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Marathon,,iOS,1994,jeu de tir en vue subjective,Bungie Studios,Bungie Studios,,,,,,
Banjo-Tooie,Banjo-Kazooie,Nintendo 64,2000,jeu d'action-aventure,Nintendo,Rare,,,Everyone,PEGI 3,,
Diablo II,Diablo,macOS,2000,action-RPG,Blizzard Entertainment,Blizzard North,,http://www.blizzard.com/games/d2/,Mature 17+,PEGI 16,,
Age of Empires II: The Age of Kings,Age of Empires,Mac OS,1999,stratégie en temps réel,Konami,Hidden Path Entertainment,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Ganbare Goemon 2: Kiteretsu Shogun Magginesu,,Super Nintendo,1993,jeu d'action-aventure,Konami,Konami,,,,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,macOS,2000,jeu vidéo de rôle,MacPlay,Q14001326,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
The Humans,,Super Nintendo,1992,jeu vidéo de réflexion,GameTek,Imagitec Design,,,,,,
Age of Empires II: The Age of Kings,Age of Empires,PlayStation 2,1999,stratégie en temps réel,Konami,Ensemble Studios,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,Microsoft Windows,2000,jeu vidéo de rôle,Interplay Entertainment,Q14001326,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Age of Empires II: The Age of Kings,Age of Empires,Microsoft Windows,1999,stratégie en temps réel,Microsoft,Ensemble Studios,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,Microsoft Windows,2000,jeu vidéo de rôle,Black Isle Studios,Q14001326,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Age of Empires II: The Age of Kings,Age of Empires,Mac OS,1999,stratégie en temps réel,Microsoft,Hidden Path Entertainment,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Banjo-Tooie,Banjo-Kazooie,Nintendo 64,2000,jeu de plates-formes,Nintendo,Rare,,,Everyone,PEGI 3,,
The Humans,,Amiga,1992,jeu vidéo de réflexion,GameTek,Imagitec Design,,,,,,
Age of Empires II: The Age of Kings,Age of Empires,Microsoft Windows,1999,stratégie en temps réel,Konami,Hidden Path Entertainment,,https://www.ageofempires.com/games/aoeii/,Teen,,,
The Humans,,Mega Drive,1992,jeu vidéo de réflexion,GameTek,Imagitec Design,,,,,,
Age of Empires II: The Age of Kings,Age of Empires,PlayStation 2,1999,stratégie en temps réel,Microsoft,Ensemble Studios,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Diablo II,Diablo,Microsoft Windows,2000,action-RPG,Blizzard Entertainment,Blizzard North,,http://www.blizzard.com/games/d2/,Mature 17+,PEGI 16,,
Doki! Doki! Yūenchi: Crazy Land Daisakusen,,Nintendo Entertainment System,1991,jeu d'action,VAP,KID,,,,,,
The Humans,,Game Boy,1992,jeu vidéo de réflexion,GameTek,Imagitec Design,,,,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,Microsoft Windows,2000,jeu vidéo de rôle,MacPlay,Q14001326,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Dark Project 2 : L'Âge de métal,Thief,Microsoft Windows,2000,jeu d'infiltration,Eidos Interactive,Looking Glass Studios,,,Mature 17+,PEGI 12,,
Age of Empires II: The Age of Kings,Age of Empires,PlayStation 2,1999,stratégie en temps réel,Konami,Hidden Path Entertainment,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Stronghold,,MS-DOS,1993,City-builder,Strategic Simulations,Stormfront Studios,,,,,,
Mission impossible,,Nintendo Entertainment System,1991,jeu d'action,Ultra Software,Konami,,,,,,
Guardians,,jeu d'arcade,1995,beat them all,Banpresto,Winkysoft,,,,,,
Age of Empires II: The Age of Kings,Age of Empires,Mac OS,1999,stratégie en temps réel,Microsoft,Ensemble Studios,,http://www.microsoft.com/games/age2/,Teen,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,macOS,2000,jeu vidéo de rôle,Interplay Entertainment,BioWare,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Age of Empires II: The Age of Kings,Age of Empires,Microsoft Windows,1999,stratégie en temps réel,Microsoft,Hidden Path Entertainment,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,macOS,2000,jeu vidéo de rôle,Black Isle Studios,BioWare,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Neon Genesis Evangelion,,Nintendo 64,1999,mecha (anime et manga),Namco Bandai Holdings,Bandai,,,,,,
Age of Empires II: The Age of Kings,Age of Empires,Microsoft Windows,1999,stratégie en temps réel,Konami,Ensemble Studios,,http://www.microsoft.com/games/age2/,Teen,,,
Marathon,,Apple Pippin,1994,jeu de tir en vue subjective,Bungie Studios,Bungie Studios,,,,,,
Diablo II,Diablo,Mac OS,2000,jeu vidéo de rôle,Blizzard Entertainment,Blizzard North,,http://www.blizzard.com/games/d2/,Mature 17+,PEGI 16,,
Breath of Fire IV,Breath of Fire,PlayStation,2000,jeu vidéo de rôle,Capcom,Capcom,,,Teen,PEGI 12,,
Age of Empires II: The Age of Kings,Age of Empires,PlayStation 2,1999,stratégie en temps réel,Microsoft,Hidden Path Entertainment,,https://www.ageofempires.com/games/aoeii/,Teen,,,
Age of Empires II: The Age of Kings,Age of Empires,PlayStation 2,1999,stratégie en temps réel,Konami,Ensemble Studios,,http://www.microsoft.com/games/age2/,Teen,,,
Mission impossible,,Nintendo Entertainment System,1991,jeu de tir à la troisième personne,Ultra Software,Konami,,,,,,
Breath of Fire IV,Breath of Fire,Microsoft Windows,2000,jeu vidéo de rôle,Capcom,Capcom,,,Teen,PEGI 12,,
Panzer Dragoon Saga,Panzer Dragoon,Saturn,1998,jeu vidéo de rôle,Sega,Sega Sports R&D,,,Teen,,,
Baldur's Gate II: Shadows of Amn,Baldur's Gate,macOS,2000,jeu vidéo de rôle,MacPlay,BioWare,,http://www.bioware.com/games/legacy,Teen,PEGI 12,,
Age of Empires II: The Age of Kings,Age of Empires,Microsoft Windows,1999,stratégie en temps réel,Microsoft,Ensemble Studios,,http://www.microsoft.com/games/age2/,Teen,,,
Diablo II,Diablo,macOS,2000,jeu vidéo de rôle,Blizzard Entertainment,Blizzard North,,http://www.blizzard.com/games/d2/,Mature 17+,PEGI 16,,
Biomotor Unitron,,Neo-Geo Pocket Color,1999,jeu vidéo de rôle,SNK Playmore,Aicom,,,,,,
Sonic the Hedgehog,Sonic,Xbox Live Arcade,1991,jeu de plates-formes,Sega,Sonic Team,,,Everyone,PEGI 3,,
Les Sims,Les Sims,Mac OS,2000,simulation de vie,Electronic Arts,Maxis,,http://www.thesims.com,Teen,PEGI 7,,
